title,ATOS level
bluebird,6.44
dorian,3.8
the hobbit,6.17
jane eyre,7.09
metamorphosis,6.55
notre dame,9.45
sleepy hollow,10.34
those winter,7.18
1984_passage,8.27
alice,6.07
anne,7.16
baskervilles,7.6
black beauty,5.72
brazilian,9.19
charlottes,4.13
court life,9.18
dreams of a giant life,6.66
economics,8.4
fauntleroy,6.03
frankenstein,10.19
friendship,8.44
frost,7.47
gatsby,8.73
gibson,9.62
growth,7.97
gulliver,7.12
homing pigeon,10.88
honeybees,8.87
huck,5.6
i have a dream,8.82
jabberwocky,4.49
jekyll,8.15
lion,6.22
little women,7.2
lochinvar,8.1
lost treasure,7.89
magic city,6.76
marathon,7.51
matilda,8.11
meg,6.79
no enemies,6.22
northern lights,7.45
nothing gold,3.57
oliver twist master,9.16
oliver twist room,9.12
patagonia,8.14
peter,6.91
pollyanna,6.58
rebecca,7.6
sea fever,13
secret garden,5.79
sense,7.63
shiba,9.02
snowy river,7.52
sonnet 18,10
stopping by,5.1
this is going to hurt,9.22
tom sawyer,6.55
treasure island,5.9
tyger,5.99
umami,10
van gogh,7.16
voyage,9.63
war of the worlds,8.64
when you are old,8
wind in the willows,8.35
wizard,5.47
